95, 42.8000, 36.3283, 1, 541.5288, -805.2224,123.9574, 437.2080, -611.9034, -211.0452 
118, 47.4000, 36.6008, 1, 239.6164, -806.8812,-183.5896, 292.3084, 170.2115, 648.7298 
132, 50.2000, 33.2578, 1, 971.5393, 263.8500,178.0907, -947.1627, 602.7386, 146.1226 
125, 48.8000, 35.0923, 1, -57.4625, -546.8291,-15.3755, 183.7752, 767.8264, -276.2506 
103, 44.4000, 33.7337, 1, 964.5301, -439.0154,35.2343, 164.3832, 192.1399, -244.4674 
155, 54.8000, 34.6994, 1, 486.9246, -651.5792,173.1934, -645.2938, 536.1248, -702.8872 
86, 41.0000, 38.7857, 2, 709.9791, -998.2796,-391.7173, 205.8206, 440.2733, -260.8085 
50, 33.8000, 36.0199, 2, 917.1664, -859.0325,-194.5959, 309.0398, -540.9234, -496.9525 
59, 35.6000, 28.8580, 2, 10.3768, -757.0353,-486.9363, -469.2694, 543.1572, 337.3794 
77, 39.2000, 35.3322, 2, 465.8625, -969.1708,23.0521, -382.6313, 12.8247, 500.4208 
41, 32.0000, 26.7999, 2, -381.7515, -901.8394,227.0564, 202.4033, -976.7379, -886.2219 
23, 28.4000, 26.5069, 2, -243.0734, -700.0475,320.7195, -613.0743, -219.8978, -369.0220 
5, 24.8000, 20.3801, 2, -222.0982, -618.1619,-640.6286, 350.2887, 430.1064, 299.1176 
14, 26.6000, 26.3418, 2, -534.6102, -912.3871,-480.8951, -302.9093, 952.7131, -101.0810 
137, 51.2000, 37.3170, 1, 439.2333, -451.8425,-84.1466, 325.7963, -179.0203, -155.1197 
110, 45.8000, 33.8851, 1, 77.5314, -797.8073,60.2939, 458.0091, 576.5788, 535.4901 
32, 30.2000, 28.3753, 2, -312.2967, -930.0051,82.9644, 184.6372, -475.4447, -978.1304 
67, 37.2000, 38.2788, 2, 147.1395, -521.2324,59.3551, 192.5878, 97.9602, -67.9799 
143, 52.4000, 38.5007, 1, 632.4832, -961.1147,-612.5971, -362.2868, 98.2760, -489.4109 
149, 53.6000, 33.4401, 1, 825.2368, -879.0748,237.7704, -457.4281, 422.7423, -42.0464 
102, 44.2000, 36.2658, 1, 47.6485, -549.4560,-104.2165, -622.8735, 683.9345, -42.4743 
94, 42.6000, 35.0603, 1, 930.4775, -365.2095,-436.5344, -177.7581, -150.0843, -525.8219 
117, 47.2000, 38.1716, 1, 863.2861, -898.5581,-156.4642, 180.1390, 63.5334, -598.2459 
131, 50.0000, 33.2578, 1, 795.9680, 800.9674,986.6204, 665.2620, 755.6563, 803.3653 
124, 48.6000, 33.7869, 1, 810.5173, -68.5401,-96.8665, -818.2699, 198.0800, -481.3973 
164, 56.6000, 32.7098, 1, 885.7735, -964.9150,207.1804, 911.2918, 192.1445, 303.1409 
